,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
SRR14466474_ATAC,-1.7111554,-3.476178,1.5892903,-0.06773985,3.1628668,-2.3330882,0.72343177,-0.7501021,0.8370149,-0.37100202
CoV-34-Aruna_RNA,7.584783,19.64228,11.084897,-4.8237453,-0.11051364,0.8889194,-4.6229763,0.39599368,-0.51510465,-0.960011
CoV-3-Wilk_RNA,9.671707,4.496027,-10.984862,1.3364018,-4.36235,1.4786025,0.6691438,-3.0294392,-1.0891986,1.4929702
HD-4-Wilk_RNA,-0.0194707,-9.736777,8.574332,-3.9443965,-15.4931755,1.8636458,0.964684,0.8655416,0.60201496,-0.121544555
SRR14466462_ATAC,3.442808,6.2771397,1.4561627,0.13941215,1.2719034,-0.57461125,7.417602,0.064492665,1.8865616,0.75955117
SRR14466464_ATAC,5.1189084,-1.7495424,-7.0839143,-0.5835675,0.49142462,-0.7721837,-1.9215373,11.867536,-3.4078424,0.1534714
HD-1-Wilk_RNA,-27.384953,9.083961,-6.161016,-0.59446955,-2.961552,0.70715684,-0.768556,0.5493507,0.429263,-0.093560815
HD-20-Aruna_RNA,-2.2686841,-4.356149,1.9382895,-2.8330855,1.539629,-7.3853464,0.17164111,-4.359773,-8.86846,-0.4500186
SRR14466481_ATAC,-1.8147094,-4.6733227,0.8547354,-0.76082665,1.8286049,-1.4602909,0.6581219,1.0683435,2.4877024,-2.147439
SRR14466470_ATAC,-1.7904483,-1.519851,3.0945444,-0.48766863,3.0087214,-2.2213895,-0.18734382,-0.92753947,0.6300831,-0.4193558
HD-21-Aruna_RNA,-1.9815681,-6.177779,2.0403385,-3.695099,6.760576,13.521707,0.6045013,-1.2605547,-2.7820313,0.55863196
re_SRR14466469_ATAC,0.9097447,-6.2840476,0.48477128,-2.172128,4.5858946,-2.3675644,-2.5022137,0.2589904,4.687078,-5.2167234
CoV-4-Wilk_RNA,0.0400157,-4.538583,1.1334395,-1.2560811,2.5992193,-2.7699606,-4.6077814,-0.7541348,3.4896727,8.560185
CoV-36-Aruna_RNA,-0.4534,-0.08227813,6.230615,19.692326,-0.3596229,1.24856,-0.81414306,0.28039056,-0.97848326,-0.26831645
SRR14466475_ATAC,3.3665044,3.1921227,-2.3820305,-1.0906342,1.1216029,-1.3402581,8.434293,0.50085336,1.310277,0.8340068
SRR14466463_ATAC,7.289918,-0.09702636,-11.869591,1.1413007,-3.0832295,1.5161064,-4.2188663,-4.769946,1.2814527,-2.3108425
