resolution,rna_cca_expression,atac_cca_expression,optimization_score,p_value,corrected_pvalue,pass,n_clusters
0.1,0.9999999999999996,0.9999999999999938,0.9999999999999996,,,coarse,10
0.2,0.9999999999999994,0.9999999999999982,0.9999999999999994,,,coarse,15
0.3,0.9999999999999997,0.9999999999999847,0.9999999999999997,,,coarse,17
0.4,0.9999999999999997,0.9999999999999971,0.9999999999999997,,,coarse,19
0.5,0.9999999999999993,0.9999999999999926,0.9999999999999993,,,coarse,21
0.55,0.9999999999999983,0.9999999999999953,0.9999999999999983,,,fine,20
0.56,0.9999999999999984,0.9999999999999976,0.9999999999999984,,,fine,20
0.57,0.9999999999999997,0.9999999999999976,0.9999999999999997,,,fine,22
0.58,0.9999999999999996,0.9999999999999969,0.9999999999999996,,,fine,20
0.59,0.9999999999999997,0.9999999999999973,0.9999999999999997,,,fine,21
0.6,1.0,0.9999999999999989,1.0,,,coarse,22
0.61,0.9999999999999996,0.9999999999999962,0.9999999999999996,,,fine,22
0.62,0.9999999999999998,0.9999999999999997,0.9999999999999998,,,fine,22
0.63,0.9999999999999993,0.9999999999999988,0.9999999999999993,,,fine,23
0.64,0.9999999999999997,0.9999999999999986,0.9999999999999997,,,fine,22
0.65,0.9999999999999997,0.999999999999995,0.9999999999999997,,,fine,22
0.7,0.9999999999999994,0.9999999999999983,0.9999999999999994,,,coarse,22
0.8,0.9999999999999999,0.9999999999999971,0.9999999999999999,,,coarse,23
0.9,0.9999999999999994,0.9999999999999993,0.9999999999999994,,,coarse,25
1.0,0.9999999999999996,0.9999999999999991,0.9999999999999996,,,coarse,25
