resolution,cca_score,p_value,corrected_pvalue,pass,n_clusters,n_samples,n_pcs_used,pc_indices_used
0.08,0.7117792062853935,0.256,0.974,fine,4,25,10,"(0, 9)"
0.09,0.6774451030418182,0.367,0.998,fine,4,25,10,"(1, 5)"
0.1,0.6880990687229764,0.327,0.995,coarse,4,25,10,"(0, 1)"
0.11,0.6899128102446735,0.317,0.995,fine,4,25,10,"(0, 1)"
0.12,0.6359929448080548,0.522,1.0,fine,5,25,10,"(1, 2)"
0.2,0.6112385896490807,0.634,1.0,coarse,5,25,10,"(1, 4)"
0.30000000000000004,0.6077299140387961,0.65,1.0,coarse,8,25,10,"(1, 4)"
0.4,0.6325991932033027,0.557,1.0,coarse,8,25,10,"(1, 4)"
0.5,0.6049959767068579,0.658,1.0,coarse,9,25,10,"(1, 3)"
0.6,0.6570991810030803,0.417,1.0,coarse,14,25,10,"(2, 7)"
0.7000000000000001,0.654135913430789,0.472,1.0,coarse,10,25,10,"(1, 6)"
0.8,0.6438547095810008,0.511,1.0,coarse,11,25,10,"(1, 4)"
0.9,0.6480992801550054,0.495,1.0,coarse,13,25,10,"(1, 5)"
1.0,0.6357618719873562,0.535,1.0,coarse,13,25,10,"(1, 5)"
